ID	adj.P.Val	P.Value	t	B	logFC	ORF
156	2.03e-07	5.65e-09	-25.987805	11.34615	-1.3503328	YBL049W
5220	2.07e-07	5.79e-09	-25.91008	11.32074	-1.2638165	YOL048C
368	2.11e-07	5.95e-09	-25.816687	11.2901	-0.9847276	YBR139W
3101	2.11e-07	5.99e-09	25.797757	11.28388	0.9902883	YJL098W
4734	2.11e-07	6.01e-09	25.787947	11.28065	0.9536488	YMR310C
2729	2.12e-07	6.07e-09	25.751914	11.26879	1.0326064	YHR170W
2660	2.12e-07	6.13e-09	-25.72157	11.25878	-1.8374772	YHR104W
689	2.15e-07	6.23e-09	-25.669145	11.24146	-1.241349	YCR091W
4928	2.15e-07	6.27e-09	25.647163	11.23419	1.4531189	YNL175C
3320	2.16e-07	6.35e-09	-25.605482	11.22039	-1.2367021	YJR096W
4893	2.30e-07	6.81e-09	25.379963	11.14527	1.4342153	YNL141W
3143	2.44e-07	7.24e-09	-25.180911	11.07839	-1.3984105	YJL141C
4063	2.44e-07	7.29e-09	-25.161371	11.07179	-1.0099886	YLR267W
4591	2.50e-07	7.52e-09	-25.058937	11.03713	-1.4048086	YMR173W-A
2641	2.58e-07	7.85e-09	24.922447	10.9907	1.0459576	YHR085W
276	2.58e-07	7.86e-09	-24.921808	10.99049	-1.0706706	YBR052C
3402	2.59e-07	7.93e-09	24.893738	10.98091	0.9248158	YKL014C
1053	2.61e-07	8.02e-09	24.857847	10.96864	0.8856271	YDR087C
4330	2.67e-07	8.25e-09	24.767205	10.93758	0.8988821	YML060W
5782	2.67e-07	8.30e-09	24.748982	10.93132	1.3044546	YPL043W
2645	2.67e-07	8.38e-09	24.718756	10.92093	0.9275137	YHR089C
5635	2.67e-07	8.40e-09	24.71187	10.91856	1.4375569	YOR294W
3123	2.68e-07	8.49e-09	24.678006	10.9069	1.4024344	YJL122W
5751	2.70e-07	8.58e-09	24.642965	10.89481	1.6259188	YPL012W
927	2.72e-07	8.70e-09	-24.601496	10.88048	-1.1478733	YDL214C
1820	2.72e-07	8.76e-09	-24.577366	10.87214	-2.2566446	YFL014W
5692	2.72e-07	8.85e-09	-24.548095	10.862	-1.3433533	YOR348C
2271	2.72e-07	8.87e-09	-24.538163	10.85856	-1.2353483	YGR070W
1741	2.72e-07	8.94e-09	24.515744	10.85078	1.2034399	YER127W
728	2.72e-07	8.95e-09	-24.51195	10.84946	-1.9389473	YDL022W
935	2.72e-07	8.96e-09	-24.507375	10.84788	-2.3595033	YDL222C
5066	2.72e-07	9.03e-09	24.485748	10.84036	0.9744255	YNL313C
4886	2.76e-07	9.20e-09	-24.425641	10.81945	-1.047074	YNL134C
4143	2.78e-07	9.33e-09	-24.383559	10.80478	-1.0571193	YLR345W
384	2.81e-07	9.51e-09	24.323538	10.78381	0.9187296	YBR155W
727	2.81e-07	9.55e-09	-24.310767	10.77934	-1.5117333	YDL021W
730	2.81e-07	9.60e-09	-24.295482	10.77398	-1.3592112	YDL024C
1151	2.81e-07	9.62e-09	24.286713	10.77091	0.9161737	YDR184C
2093	2.93e-07	1.01e-08	-24.148967	10.72249	-1.0006499	YGL157W
161	2.93e-07	1.01e-08	24.131176	10.71622	1.2736805	YBL054W
270	2.94e-07	1.02e-08	-24.103176	10.70634	-1.0200216	YBR046C
5488	2.94e-07	1.03e-08	24.086618	10.70048	1.1487513	YOR145C
2606	2.99e-07	1.05e-08	24.026507	10.67921	1.2055009	YHR052W
5371	3.02e-07	1.06e-08	-23.980304	10.66282	-0.9345697	YOR028C
4935	3.10e-07	1.10e-08	23.882181	10.6279	1.4140279	YNL182C
3947	3.19e-07	1.14e-08	-23.77876	10.59093	-1.2635299	YLR152C
984	3.25e-07	1.17e-08	23.697646	10.56182	0.9988468	YDR021W
